blk_no,street,max_floor_lvl,year_completed,residential,commercial,market_hawker,miscellaneous,multistorey_carpark,precinct_pavilion,bldg_contract_town,total_dwelling_units,1room_sold,2room_sold,3room_sold,4room_sold,5room_sold,exec_sold,multigen_sold,studio_apartment_sold,1room_rental,2room_rental,3room_rental,other_room_rental,Address,latitude,longitude
1A,EUNOS CRES,2,1981,Y,Y,N,N,N,N,GL,2,0,0,0,0,0,0,0,0,0,0,2,0,1A EUNOS CRES,1.321290305,103.9027278
1A,EVERTON PK,1,2000,N,N,N,N,N,Y,BM,0,0,0,0,0,0,0,0,0,0,0,0,0,1A EVERTON PK,1.277190575,103.8402577
1A,TELOK PAKU RD,5,2015,N,N,N,N,Y,N,PRC,0,0,0,0,0,0,0,0,0,0,0,0,0,1A TELOK PAKU RD,1.387966586,103.9882989
1A,TELOK BLANGAH CRES,1,2005,N,N,N,N,N,Y,BM,0,0,0,0,0,0,0,0,0,0,0,0,0,1A TELOK BLANGAH CRES,1.279606818,103.8177905
1A,THOMSON RD,1,1980,N,Y,N,N,N,N,KWN,0,0,0,0,0,0,0,0,0,0,0,0,0,1A THOMSON RD,1.325741734,103.8430344
1A,TOH YI DR,4,1988,N,N,N,N,Y,N,BT,0,0,0,0,0,0,0,0,0,0,0,0,0,1A TOH YI DR,1.33904481,103.7743004
1B,CANTONMENT RD,50,2009,Y,N,N,N,N,N,CT,264,0,0,0,176,88,0,0,0,0,0,0,0,1B CANTONMENT RD,1.277799407,103.8414034
1C,CANTONMENT RD,50,2009,Y,N,N,N,N,N,CT,264,0,0,0,176,88,0,0,0,0,0,0,0,1C CANTONMENT RD,1.277449094,103.8416667
1D,CANTONMENT RD,50,2009,Y,N,N,Y,N,N,CT,264,0,0,0,176,88,0,0,0,0,0,0,0,1D CANTONMENT RD,1.276920243,103.8414858
1E,CANTONMENT RD,50,2009,Y,N,N,Y,N,N,CT,264,0,0,0,176,88,0,0,0,0,0,0,0,1E CANTONMENT RD,1.276621684,103.8411561
1F,CANTONMENT RD,50,2009,Y,N,N,Y,N,N,CT,264,0,0,0,176,88,0,0,0,0,0,0,0,1F CANTONMENT RD,1.275986995,103.8411918
