name,latitude,longitude,type
BJ41,1.3755120500520863,103.7654544839076,HDB Carpark
BJ42,1.3769212779575657,103.76428644466158,HDB Carpark
BJ43,1.381720445982174,103.76167761264912,HDB Carpark
BJ44,1.380648941115928,103.76498679347908,HDB Carpark
BJ45,1.3786879613964391,103.76500878091232,HDB Carpark
BJ48,1.3871857898272917,103.76460302573584,HDB Carpark
BJ49,1.3848974600068813,103.7614867534032,HDB Carpark
BJ5,1.3749915531813586,103.7730772236168,HDB Carpark
BJ50,1.3881839976986057,103.77368892264865,HDB Carpark
BJ51,1.3793984087079127,103.76346427312762,HDB Carpark
BJ52,1.3791133613234332,103.76263790594535,HDB Carpark
BJ53,1.389802807641881,103.77193206988464,HDB Carpark
BJ54,1.3890478094024703,103.77350010545928,HDB Carpark
BJ55,1.386282944741437,103.76077695178896,HDB Carpark
BJ56,1.3858912160470105,103.75894983505444,HDB Carpark
BJ58,1.3875244297684304,103.77127261757724,HDB Carpark
BJ59,1.3898650835437794,103.77126415842334,HDB Carpark
BJ6,1.374171406400995,103.77440629700968,HDB Carpark
BJ60,1.3883210041492449,103.76951901080204,HDB Carpark
BJ61,1.3889973185441586,103.76783128358846,HDB Carpark
BJ63,1.3813155105578687,103.77029114340564,HDB Carpark
BJ65,1.3847041571560248,103.75876137706072,HDB Carpark
BJ66,1.3862485761850685,103.75770261335552,HDB Carpark
BJ67,1.3873499559694595,103.75798290360144,HDB Carpark
BJ68,1.3853817252275455,103.76997021493034,HDB Carpark
BJ69,1.3878519593286969,103.76307279280772,HDB Carpark
BJ70,1.3895479102849884,103.76377023174275,HDB Carpark
BJ71,1.387001705289468,103.761917032459,HDB Carpark
BJ72,1.3888778457850903,103.7608720427892,HDB Carpark
BKE7,1.3126129574907242,103.85532195310934,HDB Carpark
BKRM,1.3172763032697552,103.86136809519948,HDB Carpark
BLM,1.3155064401637506,103.86095873270126,HDB Carpark
BL15,1.3459715197541573,103.70756220303554,HDB Carpark
BL17,1.347871241447769,103.7077406953546,HDB Carpark
BL18,1.346549555712571,103.71442382780704,HDB Carpark
BL19,1.3487772809984708,103.71334566358128,HDB Carpark
BL20,1.3480982543721105,103.7081752768416,HDB Carpark
BL21,1.3492568430818868,103.70937375465324,HDB Carpark
BL22,1.342543505971889,103.71374987824392,HDB Carpark
BL23,1.349560588526668,103.71157981204752,HDB Carpark
BMVM,1.2846262894692293,103.82312918959776,HDB Carpark
BM29,1.283634706092511,103.8170992125997,HDB Carpark
BM31,1.2824491300655363,103.81657502600716,HDB Carpark
BM33,1.282747872709333,103.81865105241602,HDB Carpark
BM4,1.2876672842487311,103.80895514474004,HDB Carpark
BRB1,1.3060667492353475,103.85058597863151,HDB Carpark
BRM,1.3207472024589295,103.86617287009032,HDB Carpark
BRM1,1.326485487704271,103.85672896311394,HDB Carpark
BRM2,1.3259740602921015,103.85768389140578,HDB Carpark
BRM3,1.3215277953752569,103.85465630079332,HDB Carpark
BRM4,1.3227303244298867,103.85607403368216,HDB Carpark
BRM5,1.327543827770624,103.85948585590164,HDB Carpark
BRM6,1.3277831137966805,103.86119338936636,HDB Carpark
BRM7,1.324373897372242,103.85540203296432,HDB Carpark
BTM,1.2867839238665026,103.8332897478358,HDB Carpark
BTM2,1.2869630821940397,103.82964101237162,HDB Carpark
BTM3,1.2863112198549262,103.82869825504956,HDB Carpark
BVM2,1.2834928028879091,103.8233756624967,HDB Carpark
BWM,1.2869280256342526,103.80670138529204,HDB Carpark
B10M,1.329210147888524,103.93252399987328,HDB Carpark
B23M,1.330687757883615,103.9406433705684,HDB Carpark
B48B,1.329966938215947,103.92575881889982,HDB Carpark
B6M,1.3251732958769231,103.93088674617248,HDB Carpark
B65M,1.317889438390838,103.9463324279342,HDB Carpark
B66,1.3305481548727396,103.90433956320608,HDB Carpark
B67,1.3320157720861447,103.906394759454,HDB Carpark
B68,1.322504859687397,103.93692202997929,HDB Carpark
B69,1.333426183637553,103.9419707361937,HDB Carpark
