name,latitude,longitude,type
102 LENGKONG TIGA,1.325579307,103.9106575,HDB Property
102 PASIR RIS ST 12,1.367484273,103.9580411,HDB Property
102 POTONG PASIR AVE 1,1.333690127,103.8688106,HDB Property
102 PUNGGOL FIELD,1.398280578,103.9056544,HDB Property
102 RIVERVALE WALK,1.38180761,103.9008932,HDB Property
102 SERANGOON NTH AVE 1,1.370843273,103.8711536,HDB Property
102 SIMEI ST 1,1.34134725,103.9513551,HDB Property
102 SPOTTISWOODE PK RD,1.27472973,103.8362355,HDB Property
102 TAMPINES ST 11,1.346716163,103.9455214,HDB Property
102 TECK WHYE LANE,1.377082841,103.7543944,HDB Property
102 TOWNER RD,1.320586095,103.862002,HDB Property
102 WOODLANDS ST 13,1.436082949,103.7811996,HDB Property
102A BIDADARI PK DR,1.3373559,103.8713907,HDB Property
102A CANBERRA ST,1.451193905,103.8322276,HDB Property
102A DEPOT RD,1.280291346,103.8133324,HDB Property
102A PUNGGOL FIELD,1.398833183,103.9057836,HDB Property
102A RIVERVALE WALK,1.38215139,103.9000751,HDB Property
102B BIDADARI PK DR,1.336220454,103.8718471,HDB Property
102B CANBERRA ST,1.451239704,103.8314364,HDB Property
102B PUNGGOL FIELD,1.399085258,103.9054714,HDB Property
102C CANBERRA ST,1.45155993,103.8317651,HDB Property
102C PUNGGOL FIELD,1.398761278,103.904939,HDB Property
102D PUNGGOL FIELD,1.398480708,103.9052498,HDB Property
103 AH HOOD RD,1.327962675,103.844827,HDB Property
103 ALJUNIED CRES,1.320516922,103.8832703,HDB Property
103 ANG MO KIO AVE 3,1.371016578,103.8393048,HDB Property
103 BEDOK NTH AVE 4,1.333482588,103.9375425,HDB Property
103 BEDOK RESERVOIR RD,1.328770222,103.9093814,HDB Property
103 BISHAN ST 12,1.345512491,103.8483142,HDB Property
103 BT BATOK CTRL,1.348223682,103.7480345,HDB Property
103 BT PURMEI RD,1.272085585,103.8254956,HDB Property
103 C'WEALTH CRES,1.30834597,103.800214,HDB Property
103 CANBERRA ST,1.450676054,103.8307576,HDB Property
103 CLEMENTI ST 14,1.322588548,103.7691762,HDB Property
103 EDGEFIELD PLAINS,1.397473398,103.9048218,HDB Property
103 GANGSA RD,1.378670708,103.7685384,HDB Property
103 HENDERSON CRES,1.289742097,103.8213757,HDB Property
103 HOUGANG AVE 1,1.355282234,103.8903601,HDB Property
103 JLN RAJAH,1.327341433,103.8527807,HDB Property
103 JURONG EAST ST 13,1.33668715,103.7380592,HDB Property
103 LENGKONG TIGA,1.325855463,103.9105989,HDB Property
103 LOR 1 TOA PAYOH,1.34010929,103.8481846,HDB Property
103 PASIR RIS ST 12,1.367695081,103.9584042,HDB Property
103 POTONG PASIR AVE 1,1.334113387,103.8695237,HDB Property
103 RIVERVALE WALK,1.382911467,103.9012086,HDB Property
103 SERANGOON NTH AVE 1,1.37067353,103.8702639,HDB Property
103 SPOTTISWOODE PK RD,1.274660969,103.8352798,HDB Property
103 TAMPINES ST 11,1.347696625,103.9462299,HDB Property
103 TECK WHYE LANE,1.377130782,103.753556,HDB Property
103 TOWNER RD,1.320643815,103.8616341,HDB Property
103 WOODLANDS ST 13,1.436621232,103.7809767,HDB Property
103 YISHUN RING RD,1.43136935,103.8288928,HDB Property
103A BIDADARI PK DR,1.335609604,103.8717276,HDB Property
103A CANBERRA ST,1.451030061,103.830534,HDB Property
103A DEPOT RD,1.280701976,103.8133534,HDB Property
103A EDGEFIELD PLAINS,1.398255318,103.904754,HDB Property
103A RIVERVALE WALK,1.383215089,103.9006576,HDB Property
103B BIDADARI PK DR,1.335089454,103.8713373,HDB Property
103B CANBERRA ST,1.450565995,103.8312387,HDB Property
103B DEPOT RD,1.280736924,103.8131357,HDB Property
